,title,make,model,variant,price,no specs,mileage,year,fuel,transmission,body type,colour,doors,engine size,CO2,review count,distance,delivery
133,Used Kia Stonic for Sale | AA Cars,Kia,Stonic,1.0T GDi First Edition 5dr,"£12,995",9,"18,762",2018,Petrol,Manual,Suv,Grey,5,1.0 L,115 g/km,,9 miles,False
134,Used Suzuki Vitara for Sale | AA Cars,Suzuki,Vitara,1.0 Boosterjet SZ-T 5dr,"£12,995",9,"15,700",2019,Petrol,Manual,Suv,White,5,1.0 L,121 g/km,30,9 miles,False
135,Used Kia Stonic for Sale | AA Cars,Kia,Stonic,1.0T GDi 3 5dr,"£12,495",9,"24,724",2018,Petrol,Manual,Suv,Grey,5,1.0 L,130 g/km,,9 miles,False
136,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.6 GDi ISG 1 5dr,"£11,995",9,"5,914",2017,Petrol,Manual,Suv,Black,5,1.6 L,147 g/km,43,9 miles,False
137,Used Kia Optima for Sale | AA Cars,Kia,Optima,1.6 CRDi ISG 2 5dr,"£11,995",9,"35,836",2018,Diesel,Manual,Estate,Black,5,1.6 L,121 g/km,2,9 miles,False
138,Used Audi A1 for Sale | AA Cars,Audi,A1,1.4 TFSI S Line 3dr,"£11,995",9,"31,877",2017,Petrol,Manual,Hatchback,Grey,3,1.4 L,117 g/km,29,9 miles,False
139,Used Suzuki Vitara for Sale | AA Cars,Suzuki,Vitara,1.6 SZ-T 5dr Auto,"£11,895",9,"25,333",2017,Petrol,Automatic,Suv,Black,5,1.6 L,127 g/km,30,9 miles,False
140,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.7 CRDi ISG 2 5dr,"£11,795",9,"44,388",2017,Diesel,Manual,Suv,White,5,1.7 L,119 g/km,43,9 miles,False
141,Used Kia Picanto for Sale | AA Cars,Kia,Picanto,1.0T GDi GT-line 5dr,"£10,995",9,"5,104",2020,Petrol,Manual,Hatchback,White,5,1.0 L,106 g/km,59,9 miles,False
142,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 4 5dr Auto [6],"£10,995",9,"3,891",2017,Petrol,Automatic,Hatchback,Silver,5,1.6 L,150 g/km,26,9 miles,False
143,Used Suzuki Swift for Sale | AA Cars,Suzuki,Swift,1.0 Boosterjet SZ5 5dr Auto,"£10,995",9,"16,500",2018,Petrol,Automatic,Hatchback,Red,5,1.0 L,114 g/km,37,9 miles,False
144,Used Suzuki Ignis for Sale | AA Cars,Suzuki,Ignis,1.2 Dualjet 12V Hybrid SZ3 5dr,"£10,995",9,800,2020,Hybrid,Manual,Suv,Red,5,1.2 L,114 g/km,8,9 miles,False
145,Used Kia Ceed for Sale | AA Cars,Kia,Ceed,1.6 CRDi ISG 3 5dr DCT,"£10,495",9,"50,720",2018,Diesel,Semiauto,Hatchback,Black,5,1.6 L,108 g/km,59,9 miles,False
146,Used Kia Stonic for Sale | AA Cars,Kia,Stonic,1.0T GDi 2 5dr,"£10,495",9,"40,373",2018,Petrol,Manual,Suv,Black,5,1.0 L,115 g/km,,9 miles,False
147,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 3 5dr Auto [6],"£10,495",9,"8,852",2018,Petrol,Automatic,Hatchback,Blue,5,1.6 L,150 g/km,26,9 miles,False
148,Used Suzuki Ignis for Sale | AA Cars,Suzuki,Ignis,1.2 Dualjet SHVS SZ5 5dr,"£10,495",9,"4,962",2018,Hybrid,Manual,Suv,White,5,1.2 L,97 g/km,8,9 miles,False
149,Used Suzuki Swift for Sale | AA Cars,Suzuki,Swift,1.0 Boosterjet SZ5 5dr Auto,"£10,495",9,"32,450",2017,Petrol,Automatic,Hatchback,Black,5,1.0 L,114 g/km,37,9 miles,False
150,Used Kia Rio for Sale | AA Cars,Kia,Rio,1.4 2 5dr Auto,"£10,295",9,"12,784",2017,Petrol,Automatic,Hatchback,White,5,1.4 L,140 g/km,44,9 miles,False
151,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 ISG 3 5dr,"£9,995",9,"7,294",2018,Petrol,Manual,Hatchback,Black,5,1.6 L,149 g/km,26,9 miles,False
152,Used Suzuki SX4 S Cross for Sale | AA Cars,Suzuki,SX4 S Cross,1.0 Boosterjet SZ-T 5dr Auto,"£9,995",9,"38,381",2017,Petrol,Automatic,Suv,Grey,5,1.0 L,119 g/km,,9 miles,False
153,Used Suzuki SX4 S Cross for Sale | AA Cars,Suzuki,SX4 S Cross,1.0 Boosterjet SZ-T 5dr,"£9,995",9,"11,397",2017,Petrol,Manual,Suv,Grey,5,1.0 L,113 g/km,,9 miles,False
154,Used Kia Rio for Sale | AA Cars,Kia,Rio,1.25 2 5dr,"£9,995",9,"16,994",2019,Petrol,Manual,Hatchback,Black,5,1.3 L,126 g/km,44,9 miles,False
155,Used Suzuki Swift for Sale | AA Cars,Suzuki,Swift,1.0 Boosterjet SHVS SZ5 5dr,"£9,995",9,"11,524",2018,Hybrid,Manual,Hatchback,Other,5,1.0 L,97 g/km,37,9 miles,False
156,Used Fiat 500 for Sale | AA Cars,Fiat,500,1.2 Star 3dr,"£9,995",9,"18,760",2020,Petrol,Manual,Hatchback,Grey,3,1.2 L,108 g/km,43,9 miles,False
157,Used Kia Rio for Sale | AA Cars,Kia,Rio,1.25 2 5dr,"£9,495",9,"9,026",2017,Petrol,Manual,Hatchback,Red,5,1.3 L,109 g/km,44,9 miles,False
158,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 3 5dr Auto [6],"£9,495",9,"18,911",2017,Petrol,Automatic,Hatchback,Black,5,1.6 L,150 g/km,26,9 miles,False
159,Used Suzuki Swift for Sale | AA Cars,Suzuki,Swift,1.2 Dualjet Attitude 5dr,"£9,495",9,"9,023",2019,Petrol,Manual,Hatchback,Red,5,1.2 L,108 g/km,37,9 miles,False
160,Used Suzuki Swift for Sale | AA Cars,Suzuki,Swift,1.0 Boosterjet SHVS SZ5 5dr,"£9,495",9,"25,100",2018,Hybrid,Manual,Hatchback,Grey,5,1.0 L,97 g/km,37,9 miles,False
161,Used Kia Rio for Sale | AA Cars,Kia,Rio,1.0 T GDi 3 5dr,"£9,295",9,"28,275",2017,Petrol,Manual,Hatchback,Blue,5,1.0 L,102 g/km,44,9 miles,False
162,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 3 5dr Auto [6],"£8,995",9,"13,221",2016,Petrol,Automatic,Hatchback,Silver,5,1.6 L,150 g/km,26,9 miles,False
163,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 ISG 3 5dr,"£8,495",9,"16,279",2017,Petrol,Manual,Hatchback,Red,5,1.6 L,139 g/km,26,9 miles,False
164,Used Kia Venga for Sale | AA Cars,Kia,Venga,1.6 ISG 4 5dr,"£8,495",9,"28,185",2017,Petrol,Manual,Hatchback,White,5,1.6 L,139 g/km,26,9 miles,False
165,Used Suzuki Ignis for Sale | AA Cars,Suzuki,Ignis,1.2 Dualjet SZ-T 5dr,"£8,495",9,"22,000",2018,Petrol,Manual,Suv,Black,5,1.2 L,104 g/km,8,9 miles,False
166,Used Kia Rio for Sale | AA Cars,Kia,Rio,1.4 2 5dr Auto,"£7,995",9,"31,865",2015,Petrol,Automatic,Hatchback,Silver,5,1.4 L,147 g/km,44,9 miles,False
167,Used Suzuki Ignis for Sale | AA Cars,Suzuki,Ignis,1.2 Dualjet SZ3 5dr,"£7,995",9,"12,264",2018,Petrol,Manual,Suv,White,5,1.2 L,104 g/km,8,9 miles,False
168,Used Kia Picanto for Sale | AA Cars,Kia,Picanto,1.0 2 5dr,"£7,795",9,"12,180",2018,Petrol,Manual,Hatchback,Blue,5,1.0 L,101 g/km,59,9 miles,False
169,Used Suzuki Swift for Sale | AA Cars,Suzuki,Swift,1.2 Dualjet SZ3 5dr,"£7,495",9,"30,000",2018,Petrol,Manual,Hatchback,White,5,1.2 L,98 g/km,37,9 miles,False
170,Used Toyota Aygo for Sale | AA Cars,Toyota,Aygo,1.0 VVT-i X-Play 5dr,"£6,795",9,"14,162",2018,Petrol,Manual,Hatchback,Red,5,1.0 L,93 g/km,39,9 miles,False
171,Used Kia Xceed for Sale | AA Cars,Kia,Xceed,1.6 GDi PHEV 3 5dr DCT,"£25,995",9,"3,071",2020,Hybrid,Semiauto,Hatchback,Silver,5,1.6 L,32 g/km,59,9 miles,False
172,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.6 CRDi 48V ISG 4 5dr DCT Auto [AWD],"£24,995",9,"5,000",2020,Hybrid,Automatic,Suv,Grey,5,1.6 L,160 g/km,43,9 miles,False
173,Used Kia Xceed for Sale | AA Cars,Kia,Xceed,1.4T GDi ISG 3 5dr,"£16,995",9,"9,517",2020,Petrol,Manual,Hatchback,Silver,5,1.4 L,142 g/km,59,9 miles,False
174,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.6 GDi ISG 2 5dr,"£13,795",9,"13,731",2018,Petrol,Manual,Suv,White,5,1.6 L,147 g/km,43,9 miles,False
175,Used Kia Rio for Sale | AA Cars,Kia,Rio,1.25 1 5dr,"£10,995",9,"5,000",2020,Petrol,Manual,Hatchback,White,5,1.3 L,139 g/km,44,9 miles,False
176,Used Kia Optima for Sale | AA Cars,Kia,Optima,1.7 CRDi ISG 3 4dr,"£10,995",9,"36,614",2017,Diesel,Manual,Saloon,Black,4,1.7 L,110 g/km,2,9 miles,False
177,Used Kia Picanto for Sale | AA Cars,Kia,Picanto,1.0 1 5dr [4 seats],"£8,995",9,"2,868",2020,Petrol,Manual,Hatchback,Black,5,1.0 L,117 g/km,59,9 miles,False
178,Used Kia Picanto for Sale | AA Cars,Kia,Picanto,1.0 2 5dr,"£7,495",9,"11,659",2018,Petrol,Manual,Hatchback,Blue,5,1.0 L,101 g/km,59,9 miles,False
179,Used Kia Picanto for Sale | AA Cars,Kia,Picanto,1.0 1 5dr,"£6,995",9,"8,291",2018,Petrol,Manual,Hatchback,Blue,5,1.0 L,101 g/km,59,9 miles,False
180,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 F-Sport 5dr CVT,"£53,445",9,"5,000",2020,Hybrid,Automatic,Suv,White,5,3.5 L,182 g/km,14,9 miles,False
181,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 F-Sport 5dr CVT,"£51,950",9,"5,363",2020,Hybrid,Automatic,Suv,Grey,5,3.5 L,182 g/km,14,9 miles,False
182,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 Takumi 5dr CVT,"£49,497",9,"11,900",2020,Hybrid,Automatic,Suv,Black,5,3.5 L,134 g/km,14,9 miles,False
183,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 F-Sport 5dr CVT,"£48,947",9,"2,000",2020,Hybrid,Automatic,Suv,Silver,5,3.5 L,180 g/km,14,9 miles,False
184,Used Lexus RX for Sale | AA Cars,Lexus,RX,450H 3.5 F-Sport 5Dr Cvt,"£48,556",9,"3,600",2019,Hybrid,Automatic,Suv,Grey,5,3.5 L,134 g/km,14,9 miles,False
185,Used Lexus RX for Sale | AA Cars,Lexus,RX,450H 3.5 F-Sport 5Dr Cvt,"£47,857",9,"9,500",2019,Hybrid,Automatic,Suv,White,5,3.5 L,134 g/km,14,9 miles,False
186,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 F-Sport 5dr CVT,"£47,847",9,"5,000",2020,Hybrid,Automatic,Suv,White,5,3.5 L,134 g/km,14,9 miles,False
187,Used Lexus RX for Sale | AA Cars,Lexus,RX,450H 3.5 F-Sport 5Dr Cvt,"£46,997",9,"9,224",2019,Hybrid,Automatic,Suv,Silver,5,3.5 L,134 g/km,14,9 miles,False
188,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h L 3.5 Takumi 5dr CVT,"£45,495",9,"9,693",2019,Hybrid,Automatic,Suv,Grey,5,3.5 L,138 g/km,14,9 miles,False
189,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 F-Sport 5dr CVT,"£42,990",9,"11,846",2019,Hybrid,Automatic,Suv,Silver,5,3.5 L,134 g/km,14,9 miles,False
190,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 5dr CVT [Premium pack],"£41,950",9,"6,950",2020,Hybrid,Automatic,Suv,Silver,5,3.5 L,134 g/km,14,9 miles,False
